FormalSystem.Metalogic.Conservativity.tmFrag_sound	pcq	pinned:C14
FormalSystem.Metalogic.Conservativity.tmFrag_complete	pcq	pinned:C14
FormalSystem.Metalogic.Conservativity.tmFrag_complete_base	pcq	pinned:C14
FormalSystem.Metalogic.Conservativity.tmFrag_complete_dense	pcq	pinned:C14
FormalSystem.Metalogic.Conservativity.tmFrag_complete_ztime	pcq	pinned:C14
FormalSystem.Metalogic.Conservativity.tmFrag_complete_rtime	pcq	pinned:C14
FormalSystem.Metalogic.Conservativity.tm_le_tmFrag	pcq	pinned:C14
FormalSystem.Metalogic.Conservativity.tm_lt_tmFrag_ztime	pcq	pinned:C14
FormalSystem.Metalogic.Conservativity.blCompactBase	pcq	pinned:C14
FormalSystem.Metalogic.Conservativity.blCompactDense	pcq	pinned:C14
FormalSystem.Metalogic.Conservativity.star_soundness_validIn	pcq	pinned:C14
FormalSystem.Metalogic.Conservativity.starDerivable_ofFormula_iff	pcq	pinned:C14
FormalSystem.Semantics.starValidIn_ofFormula_iff	`[propext]`	pinned:C14
FormalSystem.Metalogic.Decidability.decide	pcq	pinned:C14
FormalSystem.Semantics.galoisClosed_mod	`[propext]`	pinned:C14
FormalSystem.Semantics.galoisClosed_of_indicator	pcq	pinned:C14
FormalSystem.Semantics.galoisClosed_sat_dense	pcq	pinned:C14
FormalSystem.Semantics.galoisClosed_isDiscrete	pcq	pinned:C14
FormalSystem.Semantics.validOn_nextTop_iff	pcq	pinned:C14
FormalSystem.Semantics.validOn_nextTop_iff_isDiscrete	pcq	pinned:C14
FormalSystem.Metalogic.Independence.sat_rtime_ssubset_mod_axiomSet	pcq	pinned:C14
FormalSystem.Metalogic.Independence.sat_ztime_ssubset_mod_axiomSet	pcq	pinned:C14
FormalSystem.Metalogic.Independence.deterministic_not_starDefinable	pcq	pinned:C14
FormalSystem.Metalogic.WeakCanonical.Kamp.kampPriorExpressiveCompleteness	pcq	pinned:C14
FormalSystem.Metalogic.WeakCanonical.uSExpressivelyCompleteOverPrior	pcq	pinned:C14
FormalSystem.Metalogic.consequence_completeness_rtime	pcq	pinned:C14
FormalSystem.Metalogic.BXCanonical.completeness_rtime_engine	pcq	pinned:C14
FormalSystem.Metalogic.BXCanonical.countermodel_dedekind_dense	pcq	pinned:C14
